"x";"y";"roughness"
-78;46,5;0
-78;47;0,0261629509039023
-78;47,5;0,0692656721134888
-78;48;0
-78;48,5;0
-78;49;0
-78;49,5;0
-78;50;0
-78;50,5;0
-78;51;0
-78;51,5;0
-78;52;0
-78;52,5;0
-77,5;35;0
-77,5;36;0
-77,5;36,5;0
-77,5;37;0
-77,5;37,5;0,101008910498035
-77,5;38;0,0733052976712234
-77,5;38,5;0,0851344391375942
-77,5;39;0,0859098722723189
-77,5;39,5;0,113325593130941
-77,5;40;0,100637965003273
-77,5;40,5;0,118364501701979
-77,5;41;0,172834603016873
-77,5;41,5;0,0726441617917382
-77,5;42;0,106103754253404
-77,5;42,5;0,0658855757424119
-77,5;43;0,0966821005741423
-77,5;43,5;0,080735105487418
-77,5;44;0,0821202096683809
-77,5;44,5;0,0774762906298185
-77,5;45;0,137722702394109
-77,5;45,5;0,0909091544288822
-77,5;46;0
-77,5;46,5;0,187010773058041
-77,5;47;0,130234623441146
-77,5;47,5;0,128345065795217
-77,5;48;0,129090256969472
-77,5;48,5;0
-77,5;49;0
-77,5;49,5;0
-77,5;50;0
-77,5;50,5;0
-77,5;51;0
-77,5;51,5;0
-77,5;52;0
-77,5;52,5;0
-77,5;53;0
-77,5;53,5;0
-77,5;54;0
-77,5;54,5;0
-77,5;55;0
-77,5;55,5;0
-77;23,5;0
-77;24;0
-77;24,5;0
-77;25;0,0450148123769647
-77;25,5;0,0924878370381749
-77;26;0,0644894635509624
-77;26,5;0
-77;27;0
-77;27,5;0,042212895795344
-77;28;0,0469208553488389
-77;28,5;0,0118321595661992
-77;29;0
-77;29,5;0,0468216474151291
-77;30;0
-77;30,5;0
-77;31;0
-77;32;0,0766373857127765
-77;32,5;0,0654889977288507
-77;33;0,0183847763108502
-77;33,5;0,0562055326881785
-77;34;0,058929619038307
-77;34,5;0
-77;35;0,0954058134013291
-77;35,5;0,209395160720904
-77;36;0,0413229153537518
-77;36,5;0,0642259339226398
-77;37;0,0580869657344511
-77;37,5;0,0687060815432349
-77;38;0,0715932179062669
