"x";"y";"roughness"
-75;-50,5;0,0685893577750951
-75;-50;0,148742226687649
-75;-49;0
-75;-48,5;0
-75;-48;0
-75;-46;0
-75;-45,5;0,23093437534132
-75;-45;0,127044480399583
-75;-44,5;0
-75;-44;0
-75;-43;0
-75;-42,5;0
-75;-42;0
-75;-41,5;0
-75;-41;0
-75;-40,5;0,0262932183905533
-75;-40;0,0890336012012158
-75;-39,5;0
-75;-39;0
-75;-38,5;0
-75;-38;0
-75;-37,5;0
-75;-33,5;0
-75;-33;0
-75;-32,5;0
-75;-32;0
-75;-31,5;0
-75;-31;0
-75;-30,5;0
-75;-30;0
-75;-22;0
-75;-21;0
-75;-20,5;0
-75;-20;0
-75;-19,5;0,0176776695296637
-75;-19;0,0254558441227157
-75;-18,5;0,297663852744617
-75;-18;0,0988479472051224
-75;-17,5;0
-75;-17;0
-75;-16,5;0
-75;-16;0
-75;-15,5;0,034847285881878
-75;-15;0
-75;-14,5;0
-75;-14;0
-75;-13,5;0
-75;-13;0
-75;-12,5;0
-75;-12;0
-75;-11,5;0
-75;-11;0
-75;-10,5;0
-75;-10;0,0610437001936591
-75;-9,5;0
-75;-8;0,114805651700331
-75;-7,5;0,146854744446295
-75;-7;0,0870993253310166
-75;-6,5;0,0492967540561679
-75;-6;0,166168993327378
-75;-5,5;0,17384027908278
-75;-5;0,258696409318185
-75;-4,5;0,157319445822272
-75;-4;0,0862495116558324
-75;-3,5;0,0808529529454552
-75;-2,5;0,0197989898732233
-75;-2;0,025086516962969
-75;-1,5;0,0754410767460676
-75;-1;0,0665594971936137
-75;-0,5;0,0583858267210867
-75;0;0,0530552646879752
-75;0,5;0,0282429932313604
-74,5;-57;0
-74,5;-56,5;0
-74,5;-56;0
-74,5;-55,5;0
-74,5;-55;0
-74,5;-53,5;0
-74,5;-53;0
-74,5;-52,5;0
-74,5;-52;0
-74,5;-51,5;0
-74,5;-51;0
-74,5;-50,5;0,232924880594581
-74,5;-50;0,232711149236514
-74,5;-49,5;0,21155733682216
-74,5;-49;0,283716995143635
-74,5;-48,5;0
-74,5;-48;0
-74,5;-47,5;0
-74,5;-47;0
-74,5;-46;0,103299451434491
-74,5;-45,5;0,184813072852445
-74,5;-45;0,143363872715549
-74,5;-44,5;0
-74,5;-44;0
-74,5;-43,5;0
-74,5;-43;0
-74,5;-42,5;0
-74,5;-42;0
-74,5;-41,5;0
-74,5;-41;0
-74,5;-40,5;0,0845200352794316
-74,5;-40;0,119657088551325
-74,5;-39,5;0,149371662697519
-74,5;-39;0,120767476306054
-74,5;-38,5;0
-74,5;-38;0
-74,5;-37,5;0
-74,5;-37;0
-74,5;-36,5;0
-74,5;-36;0
-74,5;-34,5;0,103274404205992
-74,5;-34;0,20472998263438
-74,5;-33,5;0,0694242016894669
-74,5;-33;0
-74,5;-32,5;0
-74,5;-32;0
-74,5;-31,5;0
-74,5;-31;0
-74,5;-30,5;0
-74,5;-30;0
-74,5;-29,5;0
-74,5;-29;0
-74,5;-28,5;0
-74,5;-28;0
-74,5;-24;0,0762714450717523
-74,5;-23,5;0
-74,5;-22,5;0
-74,5;-22;0
-74,5;-20;0
-74,5;-19,5;0,182144936184835
-74,5;-19;0,173083976419199
-74,5;-18,5;0,234357021375536
-74,5;-18;0,235243553390448
-74,5;-17,5;0
-74,5;-17;0,0615182899632297
-74,5;-16,5;0
-74,5;-16;0,0582861714112171
-74,5;-15,5;0,0626530967017257
-74,5;-15;0
-74,5;-14,5;0
-74,5;-14;0
-74,5;-13,5;0
-74,5;-12,5;0
-74,5;-12;0
-74,5;-11,5;0
-74,5;-11;0
-74,5;-10,5;0
-74,5;-10;0
-74,5;-9;0,166908430711047
-74,5;-8,5;0,175741761305236
-74,5;-8;0,1568422045375
-74,5;-7,5;0,136793932505727
-74,5;-7;0,21386953458074
